tracker id,wiki page,country,"subnational unit (province, state)",unit,plant,chinese name,sponsor,parent,capacity (mw),status,year,region,latitude,longitude
100392,https://www.gem.wiki/Ataka%C5%9F_power_station,Turkey,Hatay,Atakaş power station,Atakaş power station,,Atakaş Elektrik Üretim,Atakaş Group,660,Cancelled,,non-EU Europe,36.6971,36.2042
100401,https://www.gem.wiki/Atlas_Enerji_power_station,Turkey,Hatay,Atlas Enerji power station Unit 1,Atlas Enerji power station,,Atlas Enerji Üretim A.Ş.,Diler Holding,600,Operating,2014,non-EU Europe,36.69028,36.20909
100413,https://www.gem.wiki/Babadere_power_station,Turkey,Çanakkale,Babadere power station,Babadere power station,,Nurol Enerji Üretim,Nurol Enerji Üretim,1600,Cancelled,,non-EU Europe,39.609,26.189
100503,https://www.gem.wiki/Band%C4%B1rma_Elektrik_power_station,Turkey,Balıkesir,Bandırma Elektrik power station,Bandırma Elektrik power station,,Bahçepınar Enerji Üretim ve İnşaat A.Ş.,Bahçepınar Enerji Üretim ve İnşaat A.Ş.,1600,Cancelled,,non-EU Europe,40.30593,27.7272
100504,https://www.gem.wiki/Band%C4%B1rma_Karat_power_station,Turkey,Balıkesir,Bandırma Karat power station,Bandırma Karat power station,,Karat Elektrik Üretim ve Ticaret,Karat Elektrik Üretim ve Ticaret,1200,Cancelled,,non-EU Europe,40.357,27.975
100609,https://www.gem.wiki/Barbaros-1_power_station,Turkey,Sinop,Barbaros-1 power station,Barbaros-1 power station,,Permak Enerji Üretim ve Dağıtım,Permak Group,610,Cancelled,,non-EU Europe,41.803,35.194
100862,https://www.gem.wiki/Biga_power_station,Turkey,Çanakkale,Biga power station Unit 1,Biga power station,,Biga Elektrik,Biga Elektrik,770,Cancelled,,non-EU Europe,40.47233,27.28625
100886,https://www.gem.wiki/Bing%C3%B6l_power_station,Turkey,Bingöl,Bingöl power station,Bingöl power station,,Aksa Enerji Üretim A.Ş.,Kazancı Holding,150,Cancelled,,non-EU Europe,39.31575,40.889156
101003,https://www.gem.wiki/Bolu_G%C3%B6yn%C3%BCk_power_station,Turkey,Bolu,Bolu Göynük power station Unit 1,Bolu Göynük power station,,Aksa Enerji Üretim A.Ş.,Kazancı Holding,135,Operating,2015,non-EU Europe,40.2514,30.8129
101004,https://www.gem.wiki/Bolu_G%C3%B6yn%C3%BCk_power_station,Turkey,Bolu,Bolu Göynük power station Unit 2,Bolu Göynük power station,,Aksa Enerji Üretim A.Ş.,Kazancı Holding,135,Operating,2015,non-EU Europe,40.2514,30.8129
101119,https://www.gem.wiki/Burnaz_power_station,Turkey,Hatay,Burnaz power station,Burnaz power station,,EÜAŞ,Burnaz Elektrik Üretim A.Ş.,300,Cancelled,2015,non-EU Europe,36.4918592,36.1920918
101120,https://www.gem.wiki/Bursa_power_station,Turkey,Bursa,Bursa power station,Bursa power station,,Çelikler Elektrik Üretim,Çelikler Holding,270,Cancelled,,non-EU Europe,39.90331,29.17746
